City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Hobyo,SO,78.48,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
272,Tokmak,UA,84.09,clear sky,47.2514,35.7058,Дом приезжих
273,Muli,MV,82.06,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
276,Suleja,NG,72.59,light rain,9.1758,7.1808,Capy Motel
278,Bilma,NE,83.68,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
279,Muzaffarabad,PK,86.2,clear sky,34.37,73.4711,Pearl Continental Muzaffarabad
280,Indramayu,ID,86.31,clear sky,-6.3264,108.32,Grand Trisula Hotel
281,Dharchula,IN,86.36,overcast clouds,29.85,80.5333,Mahara Hotel
284,Las Matas De Farfan,DO,72.34,overcast clouds,18.8731,-71.5166,Breathless Resort
286,Sapouy,BF,73.38,scattered clouds,11.5544,-1.7736,Auberge St Louis
287,Yulara,AU,80.56,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
289,Nabire,ID,79.18,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
291,Sorong,ID,82.17,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
293,Somerset,US,84.97,broken clouds,40.5668,-74.5496,Hilton Garden Inn Bridgewater
294,Soure,BR,79.0,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
296,Panalingaan,PH,87.13,light rain,8.7842,117.4231,I Love Panalingaan View Deck
297,Kudahuvadhoo,MV,81.99,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
299,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
300,Saint-Joseph,RE,73.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
307,Manaure,CO,81.39,clear sky,11.7751,-72.4445,Hotel Palaaima
309,Woodward,US,77.92,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
310,Corinth,GR,84.88,clear sky,37.9407,22.9573,Ephira Hotel
313,Udon Thani,TH,84.11,broken clouds,17.3333,102.8333,P.T.K. Apartment
318,Antalaha,MG,72.59,broken clouds,-14.9003,50.2788,Hotel Vitasoa
320,Tenkodogo,BF,75.88,light rain,11.78,-0.3697,Hôtel Tiéba
323,Jalu,LY,79.3,clear sky,29.0331,21.5482,صاحبة الفخامة
325,Praia Da Vitoria,PT,70.75,few clouds,38.7333,-27.0667,Hotel Branco I
326,Lakatoro,VU,80.37,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
327,Grand Gaube,MU,73.8,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
328,Kendari,ID,83.46,overcast clouds,-3.945,122.4989,Hotel Wixel
330,Ishigaki,JP,91.53,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
331,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
332,Tambilil,PH,89.49,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
333,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
334,Marovoay,MG,71.1,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
335,Touros,BR,72.39,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
338,Wanning,CN,83.16,moderate rain,18.8003,110.3967,Paradise Hotel
341,Labuhan,ID,88.25,clear sky,-6.8844,112.2051,DoubleFAG
342,Sundargarh,IN,82.29,overcast clouds,22.1167,84.0333,Sankara City
344,Tutoia,BR,78.28,clear sky,-2.7619,-42.2744,Pousada Guará's
345,Kochki,RU,77.47,scattered clouds,54.3358,80.4806,Гостиница «Малина»
349,Ixtapa,MX,79.23,thunderstorm,20.7,-105.2,hotel la terminal
351,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
352,Sao Filipe,CV,78.75,broken clouds,14.8961,-24.4956,Hotel Xaguate
353,Temecula,US,84.51,clear sky,33.4936,-117.1484,Embassy Suites by Hilton Temecula Valley Wine Country
355,Zyryanovsk,KZ,82.47,overcast clouds,49.7386,84.2719,Гостиница «ЭВЕРЕСТ»
357,Kirakira,SB,82.18,few clouds,-10.4544,161.9205,SanBiz Lodge
358,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
361,North Platte,US,71.49,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
364,Pedernales,DO,82.44,overcast clouds,18.0384,-71.744,Hotel Costa Marina
365,Katsuura,JP,84.87,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
366,Maningrida,AU,87.55,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
369,Komsomolskiy,UZ,88.52,clear sky,40.4272,71.7189,Ikathouse
372,Xingcheng,CN,70.48,overcast clouds,40.6167,120.7167,New Century Hotel
374,Garissa,KE,72.57,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
377,Pochutla,MX,77.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
378,Santa Isabel Do Rio Negro,BR,74.03,broken clouds,-0.4139,-65.0192,Hotel GSA
380,Ribeira Grande,PT,73.8,clear sky,38.5167,-28.7,Quinta da Meia Eira
383,Barsovo,RU,80.73,clear sky,61.1667,73.1667,Dipanjan Goswami
384,Puerto Escondido,MX,81.43,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
385,Samana,DO,78.8,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
386,Awbari,LY,80.42,clear sky,26.5921,12.7805,فندق أوباري
387,Sao Miguel Do Araguaia,BR,76.73,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
389,Galle,LK,80.56,overcast clouds,6.0367,80.217,Amangalla
390,Huron,US,74.66,overcast clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
396,Morwa,IN,86.16,overcast clouds,22.9,73.8333,mahakali maa hotel
397,Lagoa,PT,72.95,scattered clouds,39.05,-27.9833,Casa Das Faias
400,Rajauri,IN,83.7,few clouds,33.3833,74.3,Hotel Ashoka
401,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
402,Mersing,MY,89.51,scattered clouds,2.4312,103.8405,Timotel Hotel
406,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
410,Dawlatabad,AF,89.89,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
414,Banda,IN,94.08,scattered clouds,25.4833,80.3333,Hotel Comfort-Inn
415,Great Bend,US,74.03,clear sky,38.3645,-98.7648,Best Western Angus Inn
417,Marana,US,89.94,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
418,Sinnamary,GF,77.86,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
419,Juba,SS,70.0,moderate rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
422,Kropotkin,RU,81.07,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
423,Sterling,US,81.39,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
424,Biak,ID,79.59,broken clouds,-0.9131,122.8766,Penginapan Kim
425,Bengkulu,ID,83.86,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
426,Portland,US,74.03,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
427,Balabac,PH,84.83,moderate rain,7.9868,117.0645,Batalla’s Lodging House
433,Sabya,SA,85.62,overcast clouds,17.1495,42.6254,Aseel Hotel Apartment
435,Kargasok,RU,72.03,scattered clouds,59.0556,80.8572,Hotel Kargasok
436,Kushima,JP,90.14,overcast clouds,31.4583,131.2333,Hanaoka
438,Mangaluru,IN,81.46,broken clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
440,Licheng,CN,77.92,moderate rain,23.2955,113.8284,Xincheng Tourism Industry
443,Caravelas,BR,71.49,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
444,Keta,GH,73.44,overcast clouds,5.9179,0.9879,A&Y Wild Camp Ghana
446,Lodwar,KE,78.78,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
448,Cartagena,CO,82.02,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
449,Dong Hoi,VN,85.69,overcast clouds,17.4833,106.6,Nam Long Hotel
450,Omboue,GA,71.96,overcast clouds,-1.5746,9.2618,Hotel Olako
452,Saraland,US,74.3,overcast clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
456,Bonthe,SL,75.83,light rain,7.5264,-12.505,Bonthe Holiday Village
458,Qiongshan,CN,82.38,light intensity shower rain,20.0058,110.3542,Sun City Restaurant
459,Muroto,JP,85.39,overcast clouds,33.2833,134.15,Oota Ryokan
463,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
465,Ternate,ID,82.78,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
471,Gizo,SB,83.71,light rain,-8.103,156.8419,Imagination Island
472,Vanimo,PG,82.8,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
474,Hurghada,EG,89.44,few clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
476,Suffolk,US,80.65,clear sky,40.8668,-72.7996,Greenwood Village
478,Honiara,SB,83.98,broken clouds,-9.4333,159.95,Heritage Park Hotel
480,La Palma,US,85.91,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
482,Pahrump,US,91.45,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
484,Novosergiyevka,RU,78.78,overcast clouds,52.0934,53.6528,Gostinichnyy Kompleks Edem
485,Madhogarh,IN,94.15,broken clouds,26.276,79.1869,Chetna Mandir
486,Port Blair,IN,82.44,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
487,Chifeng,CN,85.98,scattered clouds,42.2683,118.9636,Junyu Tiancheng Hotel
489,Pangkalanbuun,ID,90.37,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
491,Russell,US,73.0,mist,32.3502,-85.1999,Macs
493,Shunyi,CN,75.15,broken clouds,40.125,116.6453,Beijing Mingchen Holiday Hotel
495,Zalari,RU,73.65,broken clouds,53.5584,102.5065,"""Belyye Rosy"""
499,Maracanau,BR,78.75,scattered clouds,-3.8767,-38.6256,Paiva de Sousa Motel
501,Kuandian,CN,71.87,overcast clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
503,Cairns,AU,80.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
504,Hamilton,US,79.65,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
505,Adamovka,RU,74.95,scattered clouds,51.5223,59.9396,Gostinitsa
506,Borba,BR,73.36,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
507,Murgab,TM,87.67,clear sky,37.4966,61.9714,Wepa Nurlyýew
508,Baruun-Urt,MN,78.71,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
511,Edgewater,US,81.09,scattered clouds,28.9889,-80.9023,Islander Beach Resort
512,Gold Coast,AU,71.24,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
513,Palmas Bellas,PA,77.34,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
514,Tonj,SS,72.72,overcast clouds,7.2737,28.6822,Lakan Hotel
519,Kismayo,SO,76.6,overcast clouds,-0.3582,42.5454,Agan-Hotel
520,Belyy Yar,RU,76.89,clear sky,53.6039,91.3903,Pasportnyy Stol
521,Lake City,US,71.78,clear sky,30.1897,-82.6393,Ramada Limited Lake City
523,Bandarbeyla,SO,81.46,overcast clouds,9.4942,50.8122,JABIR HOTEL
528,Daru,PG,80.62,clear sky,-9.0763,143.2092,Daru Lodge
529,Nishihara,JP,90.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
534,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
538,Kashan,IR,90.99,clear sky,33.9831,51.4364,Manouchehri Traditional House
540,Ayagoz,KZ,79.2,broken clouds,47.9714,80.4392,Gostinitsa Nur
542,Pak Phanang,TH,93.22,overcast clouds,8.3511,100.202,Green Park Inn Hotel
543,Bubaque,GW,78.39,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
545,Ambulu,ID,84.02,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
546,Rio Bravo,MX,81.99,broken clouds,25.9833,-98.1,Villa Santa Cecilia
548,Limbang,MY,89.71,overcast clouds,4.75,115.0,Purnama Hotel
552,Sola,VU,81.05,clear sky,-13.8833,167.55,Leumerus Bungalows
553,San Gabriel,US,85.77,clear sky,34.0961,-118.1058,Hilton Los Angeles/San Gabriel
555,Gaya,IN,87.71,haze,24.7833,85.0,Hotel Viraat Inn Gaya
556,Salalah,OM,75.29,drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
557,Arawa,PG,84.78,broken clouds,-6.2132,155.5367,Coastline Guest House
560,Koplik,AL,80.2,scattered clouds,42.2136,19.4364,Hotel Antonis
561,Joshimath,IN,80.2,broken clouds,30.5667,79.5667,Shivalik Camps & Resort
563,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Hotel Gaudi
564,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
567,Hushitai,CN,80.51,overcast clouds,41.9322,123.5114,Home Inn Plus Shenyang Shihutai University Town
568,Sao Felix Do Xingu,BR,74.8,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
569,Santa Rosa,PH,88.02,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
571,Maragogi,BR,74.28,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
573,Emirdag,TR,70.48,few clouds,39.0197,31.15,Emirdağ Öğretmenevi
574,Turi,IT,77.04,overcast clouds,40.9173,17.0212,Dimora Rossi
