City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Loikaw,MM,2022-08-08 21:58:49,19.6742,97.2094,68.16,99,100,2.26
103,Tuatapere,NZ,2022-08-08 21:58:49,-46.1333,167.6833,33.22,76,14,4.92
104,Atuona,PF,2022-08-08 21:58:50,-9.8,-139.0333,77.63,74,38,17.2
105,East London,ZA,2022-08-08 21:58:50,-33.0153,27.9116,62.11,80,90,4.18
106,Emerald,AU,2022-08-08 21:57:13,-23.5333,148.1667,52.18,59,0,13.18
107,Fort Wellington,GY,2022-08-08 21:58:51,6.4,-57.6,80.78,79,88,8.08
108,Lucapa,AO,2022-08-08 21:58:51,-8.4192,20.7447,69.69,24,1,4.07
109,Sept-Iles,CA,2022-08-08 21:58:51,50.2001,-66.3821,62.06,67,75,11.5
110,Saskylakh,RU,2022-08-08 21:58:52,71.9167,114.0833,54.41,82,92,8.86
111,Iqaluit,CA,2022-08-08 21:58:52,63.7506,-68.5145,51.53,66,75,3.44
112,Baracoa,CU,2022-08-08 21:58:53,20.3467,-74.4958,82.4,83,96,10.2
113,Carutapera,BR,2022-08-08 21:58:53,-1.195,-46.02,78.78,82,20,9.64
114,Nabire,ID,2022-08-08 21:58:54,-3.3667,135.4833,74.59,96,100,3.22
115,Grand-Lahou,CI,2022-08-08 21:58:54,5.1367,-5.0242,74.66,84,32,11.95
116,Upata,VE,2022-08-08 21:58:54,8.0086,-62.3989,85.19,83,96,3.51
117,Qaanaaq,GL,2022-08-08 21:58:55,77.484,-69.3632,39.06,57,32,4.99
118,Bembereke,BJ,2022-08-08 21:58:55,10.2283,2.6634,72.23,93,100,4.43
119,Lagoa,PT,2022-08-08 21:58:55,39.05,-27.9833,73.51,80,13,14.27
120,Maine-Soroa,NE,2022-08-08 21:58:56,13.2114,12.0241,77.34,66,53,5.53
121,Ankazoabo,MG,2022-08-08 21:58:56,-22.2833,44.5167,63.1,62,0,3.62
122,Marawi,PH,2022-08-08 21:58:56,7.9986,124.2928,67.95,95,100,2.86
123,Anadyr,RU,2022-08-08 21:58:57,64.75,177.4833,50.5,50,0,8.95
124,Poronaysk,RU,2022-08-08 21:58:57,49.2167,143.1167,65.7,90,12,6.31
125,Rabat,MA,2022-08-08 21:56:18,33.9911,-6.8401,71.67,78,20,5.75
126,Richards Bay,ZA,2022-08-08 21:58:58,-28.783,32.0377,65.3,82,74,16.15
127,Ilulissat,GL,2022-08-08 21:58:58,69.2167,-51.1,36.82,95,100,3.0
128,Makakilo City,US,2022-08-08 21:58:58,21.3469,-158.0858,83.95,58,40,12.66
129,Laguna,US,2022-08-08 21:58:59,38.421,-121.4238,92.95,32,40,5.01
130,Hilo,US,2022-08-08 21:58:59,19.7297,-155.09,87.28,93,64,1.01
131,Parabel,RU,2022-08-08 21:59:00,58.6978,81.4825,53.55,81,68,4.56
132,Vila Velha,BR,2022-08-08 21:54:37,-20.3297,-40.2925,76.95,79,40,4.61
133,Jizan,SA,2022-08-08 21:59:00,17.3333,42.6667,85.14,71,100,3.4
134,Togur,RU,2022-08-08 21:59:01,58.3631,82.8265,54.3,78,46,6.2
135,Lata,PT,2022-08-08 21:59:01,40.1629,-8.3327,61.27,93,0,1.99
136,Basco,PH,2022-08-08 21:59:01,20.4487,121.9702,84.22,73,100,16.46
137,Sur,OM,2022-08-08 22:00:02,22.5667,59.5289,88.2,60,100,3.09
138,Arraial Do Cabo,BR,2022-08-08 22:00:03,-22.9661,-42.0278,70.81,86,96,9.08
139,Gorom-Gorom,BF,2022-08-08 22:00:04,14.4439,-0.2361,87.15,52,67,4.85
140,Ternate,ID,2022-08-08 22:00:05,0.8,127.4,78.93,83,91,6.91
141,Mahebourg,MU,2022-08-08 22:00:05,-20.4081,57.7,66.25,77,8,13.56
142,Whitecourt,CA,2022-08-08 22:00:06,54.1502,-115.6855,70.81,30,1,12.06
143,Kokstad,ZA,2022-08-08 22:00:07,-30.5472,29.4241,50.4,87,100,2.82
144,Byron Bay,AU,2022-08-08 21:58:42,-28.65,153.6167,54.95,78,15,12.12
145,Tongren,CN,2022-08-08 22:00:09,27.7172,109.1853,76.5,87,70,2.86
146,Hasaki,JP,2022-08-08 22:00:11,35.7333,140.8333,82.8,83,100,20.65
147,Flinders,AU,2022-08-08 22:00:12,-34.5833,150.8552,53.19,77,73,5.99
148,Port Lincoln,AU,2022-08-08 22:00:13,-34.7333,135.8667,50.86,63,0,9.19
149,La Rioja,ES,2022-08-08 22:00:15,42.25,-2.5,71.38,76,40,5.46
150,Portadown,GB,2022-08-08 22:00:15,54.4241,-6.4412,67.82,82,92,2.13
151,Prince Rupert,CA,2022-08-08 21:58:33,54.3161,-130.3201,64.49,73,0,17.27
152,Alofi,NU,2022-08-08 22:00:16,-19.0595,-169.9187,76.73,75,3,20.18
153,Severnoye,RU,2022-08-08 22:00:19,56.3491,78.3619,55.89,96,34,7.07
154,Presidente Epitacio,BR,2022-08-08 22:00:20,-21.7633,-52.1156,72.43,73,100,0.85
155,Dabakala,CI,2022-08-08 22:00:21,8.3667,-4.4333,74.32,79,71,5.93
156,Burla,IN,2022-08-08 22:00:21,21.5,83.8667,76.66,89,100,9.53
157,Sitges,ES,2022-08-08 22:00:22,41.2351,1.8119,82.15,58,71,4.83
158,Broome,US,2022-08-08 21:55:49,42.2506,-75.833,84.7,71,97,3.0
159,Nagapattinam,IN,2022-08-08 22:00:23,10.7667,79.8333,81.23,66,100,9.73
160,Teya,RU,2022-08-08 22:00:24,60.3778,92.6267,55.15,90,100,2.37
161,Nishihara,JP,2022-08-08 22:00:24,26.1842,127.7558,83.48,84,40,4.61
162,Cockburn Town,TC,2022-08-08 21:57:23,21.4612,-71.1419,82.58,80,56,21.32
163,Grindavik,IS,2022-08-08 22:00:25,63.8424,-22.4338,52.27,100,100,17.27
164,Bogorodskoye,RU,2022-08-08 22:00:26,56.55,37.8833,54.23,97,97,4.9
165,Indramayu,ID,2022-08-08 22:00:27,-6.3264,108.32,75.9,74,7,7.45
166,Verkhnevilyuysk,RU,2022-08-08 22:00:27,63.4453,120.3167,55.36,97,85,4.38
167,Padang,ID,2022-08-08 22:00:28,-0.9492,100.3543,76.23,85,32,3.42
168,Torbay,CA,2022-08-08 22:00:28,47.6666,-52.7314,62.76,81,84,8.01
169,Zhangjiakou,CN,2022-08-08 22:00:29,40.81,114.8794,64.71,95,100,3.42
170,Syzran,RU,2022-08-08 22:00:32,53.1585,48.4681,71.26,62,88,4.83
171,Vila Franca Do Campo,PT,2022-08-08 22:00:33,37.7167,-25.4333,75.2,89,58,5.97
172,Isangel,VU,2022-08-08 22:00:33,-19.55,169.2667,77.0,77,35,10.13
173,Yulara,AU,2022-08-08 22:00:34,-25.2406,130.9889,50.04,32,70,9.51
174,Kurush,RU,2022-08-08 22:00:34,41.2841,47.8345,46.2,91,87,1.03
175,Fortuna,US,2022-08-08 22:00:35,40.5982,-124.1573,71.91,64,20,11.5
176,Great Bend,US,2022-08-08 22:00:35,38.3645,-98.7648,91.62,34,0,9.22
177,Owando,CG,2022-08-08 22:00:36,-0.4819,15.8999,82.31,48,98,1.36
178,Tabas,IR,2022-08-08 22:00:36,33.5959,56.9244,90.75,20,0,2.77
179,Markova,UA,2022-08-08 22:00:37,48.6758,24.4138,61.5,93,100,1.34
180,Chuy,UY,2022-08-08 22:00:37,-33.6971,-53.4616,51.35,76,99,10.13
181,Sinazongwe,ZM,2022-08-08 22:00:38,-17.2614,27.4618,66.04,29,0,3.31
182,Marataizes,BR,2022-08-08 22:00:38,-21.0433,-40.8244,71.69,87,60,2.44
183,Keskin,TR,2022-08-08 22:00:39,39.6731,33.6136,67.46,52,0,6.55
184,Laje,BR,2022-08-08 22:00:39,-10.1833,-40.9667,75.09,32,35,7.45
185,Veinticinco De Mayo,AR,2022-08-08 22:01:40,-35.4323,-60.1727,48.97,73,100,6.17
186,Kodiak,US,2022-08-08 22:01:40,57.79,-152.4072,56.21,74,58,5.79
187,Riyadh,SA,2022-08-08 22:00:05,24.6877,46.7219,100.11,21,41,8.41
188,Rio Grande,BR,2022-08-08 21:59:49,-32.035,-52.0986,57.31,77,96,14.92
189,Galle,LK,2022-08-08 22:01:41,6.0367,80.217,77.52,88,83,11.81
190,Lakes Entrance,AU,2022-08-08 22:01:41,-37.8811,147.981,38.16,88,8,4.83
191,Kavaratti,IN,2022-08-08 22:01:42,10.5669,72.642,80.69,82,100,22.37
192,Juba,SS,2022-08-08 21:57:37,4.8517,31.5825,70.09,94,82,2.44
193,Mayo,US,2022-08-08 22:01:42,38.8876,-76.5119,93.31,74,82,13.56
194,Eyl,SO,2022-08-08 22:01:43,7.9803,49.8164,76.78,72,88,24.87
195,Najran,SA,2022-08-08 22:01:43,17.4924,44.1277,84.22,39,83,4.25
196,Meulaboh,ID,2022-08-08 22:01:44,4.1363,96.1285,75.07,88,99,4.32
197,Troitskoye,RU,2022-08-08 22:01:19,52.9821,84.6757,58.64,81,100,4.99
198,Morant Bay,JM,2022-08-08 22:01:44,17.8815,-76.4093,85.71,70,61,11.99
199,Butka,RU,2022-08-08 22:01:44,56.7179,63.7866,61.74,86,69,3.38
200,Kaman,IN,2022-08-08 22:01:45,27.65,77.2667,86.94,64,37,5.35
201,Gazanjyk,TM,2022-08-08 22:01:45,39.2446,55.5154,85.68,24,7,4.59
202,Ambilobe,MG,2022-08-08 22:01:46,-13.2,49.05,64.81,87,26,3.71
203,Guilin,CN,2022-08-08 22:00:17,25.2819,110.2864,75.9,92,7,1.21
204,Tazovskiy,RU,2022-08-08 22:01:46,67.4667,78.7,61.12,76,48,9.46
205,Mozarlandia,BR,2022-08-08 22:01:47,-14.7447,-50.5706,85.62,29,5,5.32
206,Sulangan,PH,2022-08-08 22:01:47,11.1373,123.7228,82.85,74,100,7.52
207,Lebu,CL,2022-08-08 22:01:47,-37.6167,-73.65,48.25,83,6,11.23
208,Severo-Kurilsk,RU,2022-08-08 22:01:48,50.6789,156.125,56.05,95,100,18.14
209,Ngunguru,NZ,2022-08-08 22:01:49,-35.6167,174.5,55.24,86,26,6.35
210,Boa Vista,BR,2022-08-08 22:01:49,2.8197,-60.6733,83.93,65,91,3.78
211,Milkovo,RU,2022-08-08 22:01:49,54.7167,158.6167,68.74,63,5,2.37
212,Sumbe,AO,2022-08-08 22:01:50,-11.2061,13.8437,69.03,82,77,7.36
213,Husavik,IS,2022-08-08 22:01:51,66.0449,-17.3389,55.17,69,100,21.12
214,Beyneu,KZ,2022-08-08 22:01:51,45.3167,55.2,84.94,25,92,7.81
215,Sobral,BR,2022-08-08 22:01:51,-3.6861,-40.3497,82.56,39,9,4.14
216,Saint Anthony,US,2022-08-08 22:00:18,45.0205,-93.218,79.83,49,40,9.22
217,Half Moon Bay,US,2022-08-08 22:01:52,37.4636,-122.4286,84.58,60,0,17.27
218,Maardu,EE,2022-08-08 22:01:52,59.4767,25.025,53.6,94,0,0.0
219,Broken Hill,AU,2022-08-08 22:01:53,-31.95,141.4333,47.1,57,2,4.63
220,Katherine,AU,2022-08-08 22:01:53,-14.4667,132.2667,66.52,48,8,3.44
221,Kaseda,JP,2022-08-08 22:01:54,31.4167,130.3167,82.11,80,57,3.02
222,Bonthe,SL,2022-08-08 22:01:54,7.5264,-12.505,76.57,82,97,10.18
223,Kununurra,AU,2022-08-08 22:01:54,-15.7667,128.7333,64.38,72,2,1.14
224,Vestmanna,FO,2022-08-08 22:01:55,62.1564,-7.1664,50.92,100,100,9.22
225,Elizabeth City,US,2022-08-08 22:01:55,36.2946,-76.2511,93.22,60,26,1.01
226,Dalbandin,PK,2022-08-08 22:01:15,28.8947,64.4101,92.93,14,59,7.94
227,Limon,CR,2022-08-08 22:01:56,10.0,-83.0333,83.05,87,100,7.47
228,Vanimo,PG,2022-08-08 22:01:56,-2.6741,141.3028,77.58,88,65,5.82
229,Vallenar,CL,2022-08-08 22:01:56,-28.5708,-70.7581,69.64,23,0,3.47
230,Moissac,FR,2022-08-08 22:01:57,44.1024,1.0945,71.47,30,2,5.03
231,Praia Da Vitoria,PT,2022-08-08 22:01:57,38.7333,-27.0667,74.75,87,15,8.12
232,Berlevag,NO,2022-08-08 22:02:58,70.8578,29.0864,51.8,81,100,8.05
233,Port Hardy,CA,2022-08-08 22:00:37,50.6996,-127.4199,63.14,69,4,14.38
234,Lahaina,US,2022-08-08 21:59:22,20.8783,-156.6825,85.95,84,41,8.77
